3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(2)3条,"","","","","","","","","","","","","","",""
"",②関東,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HA25,8,3,●,"","",●,90,～,"",97,300,58,11,""
"",ヰセキ,HF322,5,3,●,"","",●,98,～,"",10,830,267,20,""
"",ヰセキ,HF323,4,3,●,"","",●,03,～,"",06,1774,1085,541,""
"",ヰセキ,HF325,8,3,●,"","",●,97,～,"",04,1200,747,20,""
"",ヰセキ,HF327,10,3,●,"","",●,02,～,"",07,1800,1228,25,""
"",ヰセキ,HF328,5,3,●,"","",●,01,～,"",08,2105,536,20,""
"",ヰセキ,HF331,4,3,●,"","",●,98,～,"",01,763,383,25,""
"",ヰセキ,HVF323,5,3,●,"","",●,10,～,"",15,2208,1852,1469,""
"",ヰセキ,HVG323,3,3,●,"","",●,06,～,"",06,1080,978,855,""
"",クボタ,AR326,7,3,●,"","",●,03,～,"",03,1407,1173,833,""
"",クボタ,AR335,4,3,●,"","",●,02,～,"",02,1759,1560,1100,""
"",クボタ,ARN317,6,3,●,"","",●,06,～,"",06,1459,1065,602,""
"",クボタ,ARN320,4,3,●,"","",●,06,～,"",06,1389,1115,800,""
"",クボタ,ARN323,4,3,●,"","",●,05,～,"",10,1533,1171,950,""
"",クボタ,ARN327,11,3,●,"","",●,05,～,"",05,2130,1687,550,""
"",クボタ,ARN331,3,3,●,"","",●,05,～,"",05,1940,1563,850,""
"",クボタ,ARN338,7,3,●,"","",●,05,～,"",05,2435,2018,1482,""
"",クボタ,ER323,4,3,●,"","",●,11,～,"",11,2370,1884,1500,""
"",クボタ,ER329,6,3,●,"","",●,10,～,"",10,4000,2781,1944,""
"",クボタ,ER335,3,3,●,"","",●,10,～,"",10,2917,2577,2315,""
"",クボタ,R1-241,4,3,●,"","",●,91,～,"",95,648,409,139,""
"",クボタ,SR23,4,3,●,"","",●,96,～,"",96,756,489,50,""
"",クボタ,SR25,5,3,●,"","",●,95,～,"",95,787,513,93,""
"",クボタ,SR265,7,3,●,"","",●,98,～,"",00,1200,793,463,""
"",クボタ,SR30,6,3,●,"","",●,95,～,"",95,800,495,167,""
"",クボタ,SR315,4,3,●,"","",●,00,～,"",00,900,744,600,""
"",三菱,MC240,3,3,●,"","",●,96,～,"",05,500,306,139,""
"",三菱,VS21,3,3,●,"","",●,99,～,"",99,741,417,139,""
"",ヤンマー,AJ330,3,3,●,"","",●,09,～,"",09,2500,2037,1481,""
"",ヤンマー,CA210GH,3,3,●,"","",●,93,～,"",95,120,51,15,""
"",ヤンマー,CA215GP,3,3,●,"","",●,01,～,"",03,113,48,15,""
"",ヤンマー,CA230GH,14,3,●,"","",●,94,～,"",98,1111,402,09,""
"",ヤンマー,CA240GH,3,3,●,"","",●,92,～,"",93,370,135,15,""
"",ヤンマー,CA250GH,5,3,●,"","",●,93,～,"",01,730,335,09,""
"",ヤンマー,CA300GH,7,3,●,"","",●,95,～,"",98,741,408,30,""
"",ヤンマー,CA300SGH,5,3,●,"","",●,95,～,"",98,1000,548,150,""
"",ヤンマー,CA315,4,3,"",●,"",●,99,～,"",04,1300,803,15,""
"",ヤンマー,GC325,7,3,●,"","",●,02,～,"",05,1481,1225,850,""
"",ヤンマー,GC328,6,3,●,"","",●,01,～,"",06,1574,1181,810,""
"",ヤンマー,GC329,5,3,●,"","",●,03,～,"",05,1667,1262,800,""
"",ヤンマー,GC335,8,3,●,"","",●,00,～,"",06,1500,1163,500,""
